1792,Mar 19,9:41 pm LMT,Jun 20,7:35 pm LMT,Sep 22,9:09 am LMT,Dec 21,1:43 am LMT
1793,Mar 20,3:29 am LMT,Jun 21,1:28 am LMT,Sep 22,3:04 pm LMT,Dec 21,7:36 am LMT
1794,Mar 20,9:25 am LMT,Jun 21,7:24 am LMT,Sep 22,8:55 pm LMT,Dec 21,1:33 pm LMT
1795,Mar 20,3:13 pm LMT,Jun 21,12:59 pm LMT,Sep 23,2:37 am LMT,Dec 21,7:27 pm LMT
1796,Mar 19,9:02 pm LMT,Jun 20,6:51 pm LMT,Sep 22,8:33 am LMT,Dec 21,1:18 am LMT
1797,Mar 20,2:56 am LMT,Jun 21,12:43 am LMT,Sep 22,2:19 pm LMT,Dec 21,7:02 am LMT
1798,Mar 20,8:47 am LMT,Jun 21,6:25 am LMT,Sep 22,7:59 pm LMT,Dec 21,12:50 pm LMT
1799,Mar 20,2:39 pm LMT,Jun 21,12:18 pm LMT,Sep 23,1:49 am LMT,Dec 21,6:40 pm LMT
1800,Mar 20,8:20 pm LMT,Jun 21,6:00 pm LMT,Sep 23,7:34 am LMT,Dec 22,12:25 am LMT
1801,Mar 21,2:04 am LMT,Jun 21,11:50 pm LMT,Sep 23,1:22 pm LMT,Dec 22,6:10 am LMT
1802,Mar 21,7:57 am LMT,Jun 22,5:44 am LMT,Sep 23,7:11 pm LMT,Dec 22,11:59 am LMT
1803,Mar 21,1:42 pm LMT,Jun 22,11:17 am LMT,Sep 24,12:52 am LMT,Dec 22,5:45 pm LMT
1804,Mar 20,7:26 pm LMT,Jun 21,5:05 pm LMT,Sep 23,6:48 am LMT,Dec 21,11:33 pm LMT
1805,Mar 21,1:13 am LMT,Jun 21,10:58 pm LMT,Sep 23,12:38 pm LMT,Dec 22,5:22 am LMT
1806,Mar 21,7:01 am LMT,Jun 22,4:39 am LMT,Sep 23,6:17 pm LMT,Dec 22,11:13 am LMT
1807,Mar 21,12:50 pm LMT,Jun 22,10:30 am LMT,Sep 24,12:10 am LMT,Dec 22,5:10 pm LMT
1808,Mar 20,6:38 pm LMT,Jun 21,4:15 pm LMT,Sep 23,6:00 am LMT,Dec 21,10:58 pm LMT
1809,Mar 21,12:30 am LMT,Jun 21,10:05 pm LMT,Sep 23,11:51 am LMT,Dec 22,4:46 am LMT
1810,Mar 21,6:29 am LMT,Jun 22,4:04 am LMT,Sep 23,5:46 pm LMT,Dec 22,10:43 am LMT
1811,Mar 21,12:22 pm LMT,Jun 22,9:45 am LMT,Sep 23,11:29 pm LMT,Dec 22,4:34 pm LMT
1812,Mar 20,6:08 pm LMT,Jun 21,3:38 pm LMT,Sep 23,5:25 am LMT,Dec 21,10:25 pm LMT
1813,Mar 20,11:58 pm LMT,Jun 21,9:36 pm LMT,Sep 23,11:16 am LMT,Dec 22,4:16 am LMT
1814,Mar 21,5:51 am LMT,Jun 22,3:18 am LMT,Sep 23,4:55 pm LMT,Dec 22,10:00 am LMT
1815,Mar 21,11:39 am LMT,Jun 22,9:07 am LMT,Sep 23,10:51 pm LMT,Dec 22,3:52 pm LMT
1816,Mar 20,5:24 pm LMT,Jun 21,2:53 pm LMT,Sep 23,4:41 am LMT,Dec 21,9:39 pm LMT
1817,Mar 20,11:09 pm LMT,Jun 21,8:39 pm LMT,Sep 23,10:27 am LMT,Dec 22,3:25 am LMT
1818,Mar 21,4:58 am LMT,Jun 22,2:32 am LMT,Sep 23,4:18 pm LMT,Dec 22,9:23 am LMT
1819,Mar 21,10:47 am LMT,Jun 22,8:06 am LMT,Sep 23,9:56 pm LMT,Dec 22,3:11 pm LMT
1820,Mar 20,4:32 pm LMT,Jun 21,1:51 pm LMT,Sep 23,3:46 am LMT,Dec 21,8:57 pm LMT
1821,Mar 20,10:24 pm LMT,Jun 21,7:46 pm LMT,Sep 23,9:37 am LMT,Dec 22,2:44 am LMT
1822,Mar 21,4:18 am LMT,Jun 22,1:27 am LMT,Sep 23,3:12 pm LMT,Dec 22,8:27 am LMT
1823,Mar 21,10:03 am LMT,Jun 22,7:17 am LMT,Sep 23,9:05 pm LMT,Dec 22,2:20 pm LMT
1824,Mar 20,3:47 pm LMT,Jun 21,1:07 pm LMT,Sep 23,2:55 am LMT,Dec 21,8:08 pm LMT
1825,Mar 20,9:34 pm LMT,Jun 21,6:56 pm LMT,Sep 23,8:40 am LMT,Dec 22,1:52 am LMT
1826,Mar 21,3:25 am LMT,Jun 22,12:50 am LMT,Sep 23,2:37 pm LMT,Dec 22,7:48 am LMT
1827,Mar 21,9:17 am LMT,Jun 22,6:30 am LMT,Sep 23,8:22 pm LMT,Dec 22,1:36 pm LMT
1828,Mar 20,3:02 pm LMT,Jun 21,12:16 pm LMT,Sep 23,2:18 am LMT,Dec 21,7:27 pm LMT
1829,Mar 20,8:51 pm LMT,Jun 21,6:14 pm LMT,Sep 23,8:14 am LMT,Dec 22,1:24 am LMT
1830,Mar 21,2:45 am LMT,Jun 21,11:57 pm LMT,Sep 23,1:50 pm LMT,Dec 22,7:14 am LMT
1831,Mar 21,8:35 am LMT,Jun 22,5:45 am LMT,Sep 23,7:44 pm LMT,Dec 22,1:10 pm LMT
1832,Mar 20,2:25 pm LMT,Jun 21,11:36 am LMT,Sep 23,1:36 am LMT,Dec 21,7:00 pm LMT
